wandb_group,seed,weights,name,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.84,0,"[1, 0, 1, 1]",RESN,0.795,0.8025,0.855,0.84,,,,,,,,,,,
align=0.84,1,"[1, 0, 1, 1]",RESN,0.755,0.7525,0.8275,0.84,,,,,,,,,,,
align=0.84,2,"[1, 0, 1, 1]",RESN,0.8225,0.82,0.855,0.84,,,,,,,,,,,
align=0.94,0,"[32, 128, 1, 1]",RESN,0.8825,0.885,0.9475,0.94,,,,,,,,,,,
align=0.94,1,"[32, 128, 1, 1]",RESN,0.865,0.865,0.935,0.94,,,,,,,,,,,
align=0.94,2,"[32, 128, 1, 1]",RESN,0.8775,0.88,0.93,0.94,,,,,,,,,,,
align=0.77,0,"[0, 1, 1, 1]",RESN,0.74,0.7475,0.8525,0.77,,,,,,,,,,,
align=0.77,1,"[0, 1, 1, 1]",RESN,0.7375,0.735,0.845,0.77,,,,,,,,,,,
align=0.77,2,"[0, 1, 1, 1]",RESN,0.76,0.7575,0.7775,0.77,,,,,,,,,,,
align=0.92,0,"[1, 1, 1, 1]",RESN,0.805,0.8125,0.885,0.92,,,,,,,,,,,
align=0.92,1,"[1, 1, 1, 1]",RESN,0.7825,0.7825,0.855,0.92,,,,,,,,,,,
align=0.92,2,"[1, 1, 1, 1]",RESN,0.8475,0.845,0.8725,0.92,,,,,,,,,,,
