agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,2_NINO_ds_acc,3_NINO_ds_acc,2_NIFO_ds_acc,3_NIFO_ds_acc,2_rNINO_ds_acc,3_rNINO_ds_acc,NIs,NI_acc
MTL0s1,MTL0.5s3,MTL0.5,3,0.949999988079071,0.95,0.6937499642372131,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 20]
 [ 25]
 [ 42]
 [ 49]
 [ 42]
 [ 54]
 [ 54]
 [ 53]
 [ 53]
 [ 53]
 [ 42]
 [ 67]
 [ 79]
 [ 89]
 [ 60]
 [ 84]
 [ 66]
 [ 91]
 [ 89]
 [ 89]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [102]
 [109]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL0.5s4,MTL0.5,4,0.975000023841858,0.95,0.7074999809265137,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 19]
 [ 20]
 [  6]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 46]
 [ 53]
 [ 56]
 [ 36]
 [ 36]
 [ 36]
 [ 53]
 [ 36]
 [ 46]
 [ 91]
 [ 67]
 [ 67]
 [ 89]
 [ 91]
 [ 91]
 [ 91]
 [ 62]
 [ 91]
 [ 73]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL0.8s0,MTL0.8,0,0.925000011920929,0.925,0.699999988079071,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 25]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 25]
 [ 53]
 [ 25]
 [ 53]
 [ 36]
 [ 53]
 [ 25]
 [ 53]
 [ 53]
 [ 53]
 [ 66]
 [ 66]
 [ 79]
 [ 89]
 [ 88]
 [ 89]
 [ 82]
 [ 79]
 [ 82]
 [109]
 [ 97]
 [109]
 [109]
 [ 97]
 [109]
 [109]
 [ 97]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL0.8s1,MTL0.8,1,0.975000023841858,0.975,0.699999988079071,0.925,1.0,0.925,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 25]
 [ 36]
 [ 36]
 [ 36]
 [ 25]
 [ 53]
 [ 36]
 [ 56]
 [ 62]
 [ 62]
 [ 62]
 [ 62]
 [ 60]
 [ 62]
 [ 62]
 [ 62]
 [ 81]
 [ 91]
 [ 97]
 [109]
 [ 97]
 [109]
 [ 97]
 [109]
 [103]
 [ 97]
 [107]
 [114]]",0.975
MTL0s1,MTL0.8s2,MTL0.8,2,0.975000023841858,0.975,0.6787499785423279,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 42]
 [ 36]
 [ 53]
 [ 53]
 [ 42]
 [ 42]
 [ 53]
 [ 89]
 [ 89]
 [ 82]
 [ 89]
 [ 89]
 [ 81]
 [ 82]
 [ 82]
 [ 89]
 [ 68]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL0.8s3,MTL0.8,3,0.949999988079071,0.95,0.6912499666213989,0.925,1.0,0.95,0.95,0.975,1.0,1.0,0.975,1.0,"[[ 19]
 [ 19]
 [ 19]
 [  6]
 [ 19]
 [ 53]
 [ 19]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 53]
 [ 53]
 [ 53]
 [ 54]
 [ 54]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 89]
 [ 89]
 [ 89]
 [ 74]
 [ 81]
 [ 81]
 [ 89]
 [ 89]
 [ 83]
 [109]
 [109]
 [109]
 [109]
 [117]
 [117]
 [102]
 [ 99]
 [109]
 [102]
 [102]]",0.9375
MTL0s1,MTL0.8s4,MTL0.8,4,0.949999988079071,0.95,0.7049999833106995,0.975,1.0,0.975,0.95,0.975,1.0,1.0,0.95,0.975,"[[ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 25]
 [ 54]
 [ 48]
 [ 42]
 [ 54]
 [ 54]
 [ 48]
 [ 53]
 [ 48]
 [ 41]
 [ 91]
 [ 91]
 [ 62]
 [ 84]
 [ 84]
 [ 81]
 [ 62]
 [ 62]
 [ 91]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL1s0,MTL1,0,0.925000011920929,0.925,0.581250011920929,0.825,0.925,0.825,0.925,0.925,0.85,0.825,0.925,0.95,"[[ 27]
 [ 28]
 [ 28]
 [ 28]
 [ 52]
 [ 28]
 [ 28]
 [ 28]
 [ 52]
 [ 28]
 [ 28]
 [ 27]
 [ 52]
 [ 52]
 [ 14]
 [ 28]
 [ 52]
 [ 28]
 [ 30]
 [ 28]
 [109]
 [ 62]
 [ 88]
 [109]
 [109]
 [109]
 [109]
 [106]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [110]
 [ 77]
 [110]
 [109]
 [109]]",0.6375
MTL0s1,MTL1s1,MTL1,1,0.949999988079071,0.925,0.5737499594688416,0.875,0.825,0.875,0.875,0.85,0.85,0.85,0.875,0.85,"[[ 36]
 [ 36]
 [ 36]
 [  7]
 [ 36]
 [ 36]
 [ 42]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 44]
 [ 38]
 [ 36]
 [ 36]
 [ 42]
 [ 42]
 [ 92]
 [ 92]
 [ 62]
 [ 92]
 [106]
 [ 92]
 [ 60]
 [ 89]
 [ 92]
 [ 92]
 [ 92]
 [119]
 [106]
 [ 76]
 [106]
 [ 89]
 [ 92]
 [ 92]
 [ 92]
 [ 92]]",0.6
MTL0s1,MTL1s2,MTL1,2,0.975000023841858,0.975,0.5987499952316284,0.775,0.95,0.775,0.8,0.825,0.975,0.975,0.8,0.825,"[[  0]
 [ 41]
 [ 53]
 [  0]
 [ 25]
 [ 41]
 [ 53]
 [ 41]
 [ 41]
 [ 53]
 [ 41]
 [ 41]
 [ 41]
 [ 27]
 [  6]
 [ 14]
 [ 41]
 [ 53]
 [ 41]
 [ 41]
 [117]
 [117]
 [ 89]
 [117]
 [117]
 [ 67]
 [ 93]
 [ 81]
 [117]
 [ 77]
 [106]
 [ 77]
 [ 82]
 [106]
 [117]
 [106]
 [106]
 [ 77]
 [117]
 [117]]",0.5375
MTL0s1,MTL1s3,MTL1,3,0.949999988079071,0.95,0.5962499976158142,0.875,0.875,0.875,0.925,0.875,0.9,0.95,0.925,0.875,"[[ 35]
 [ 21]
 [ 21]
 [ 35]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 35]
 [ 36]
 [ 36]
 [ 36]
 [ 15]
 [ 48]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 77]
 [ 91]
 [117]
 [ 78]
 [ 78]
 [ 78]
 [117]
 [117]
 [ 70]
 [ 78]
 [117]
 [ 70]
 [ 78]
 [117]
 [ 70]
 [117]
 [117]
 [117]
 [ 78]
 [117]]",0.675
MTL0s1,MTL1s4,MTL1,4,0.975000023841858,0.975,0.6150000095367432,0.875,0.925,0.875,0.95,0.925,0.9,0.85,0.95,0.925,"[[ 14]
 [ 21]
 [ 21]
 [ 59]
 [ 38]
 [ 21]
 [ 21]
 [ 21]
 [ 38]
 [ 21]
 [  2]
 [ 21]
 [ 37]
 [ 38]
 [ 43]
 [ 25]
 [ 37]
 [  5]
 [ 37]
 [ 21]
 [117]
 [117]
 [117]
 [117]
 [117]
 [118]
 [109]
 [117]
 [117]
 [117]
 [117]
 [117]
 [117]
 [ 81]
 [117]
 [117]
 [ 93]
 [117]
 [118]
 [117]]",0.5
MTL0s2,MTL0s0,MTL0,0,0.675000011920929,0.95,0.7212499976158142,0.925,1.0,0.95,0.925,0.925,1.0,1.0,0.925,0.925,"[[ 19]
 [  5]
 [ 19]
 [ 19]
 [ 20]
 [ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 25]
 [ 34]
 [ 53]
 [ 53]
 [ 36]
 [ 53]
 [ 25]
 [ 44]
 [ 53]
 [ 46]
 [ 67]
 [ 89]
 [ 62]
 [ 84]
 [ 84]
 [ 67]
 [ 82]
 [ 79]
 [ 82]
 [ 89]
 [109]
 [109]
 [ 99]
 [ 95]
 [112]
 [109]
 [110]
 [109]
 [110]
 [114]]",0.825
MTL0s2,MTL0s1,MTL0,1,0.3000000119209289,0.975,0.6974999904632568,0.975,1.0,0.95,0.95,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 33]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 25]
 [ 46]
 [ 36]
 [ 53]
 [ 36]
 [ 33]
 [ 36]
 [ 53]
 [ 36]
 [ 46]
 [ 67]
 [ 83]
 [ 67]
 [ 67]
 [ 67]
 [ 67]
 [ 67]
 [ 91]
 [ 67]
 [ 74]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",0.875
MTL0s2,MTL0s2,MTL0,2,0.625,0.975,0.6962499618530273,0.975,1.0,1.0,0.975,0.975,1.0,1.0,1.0,1.0,"[[ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 36]
 [ 36]
 [ 53]
 [ 42]
 [ 44]
 [ 42]
 [ 46]
 [ 89]
 [ 88]
 [ 82]
 [ 89]
 [ 89]
 [ 63]
 [ 82]
 [ 82]
 [ 89]
 [ 78]
 [103]
 [ 97]
 [ 97]
 [117]
 [ 99]
 [102]
 [ 97]
 [ 99]
 [ 99]
 [ 99]]",1.0
MTL0s2,MTL0s3,MTL0,3,0.5,0.95,0.7162500023841858,0.975,1.0,1.0,0.975,0.975,1.0,1.0,1.0,1.0,"[[ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 67]
 [ 79]
 [ 66]
 [ 87]
 [ 70]
 [ 66]
 [ 89]
 [ 70]
 [ 70]
 [ 89]
 [109]
 [109]
 [109]
 [109]
 [102]
 [102]
 [102]
 [109]
 [102]
 [102]]",0.95
