wandb_group,seed,weights,name,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.89,0,"[0, 1, 1, 1]",RESN,0.7125,0.7125,0.8075,0.89,,,,,,,,,,,
align=0.89,1,"[0, 1, 1, 1]",RESN,0.6625,0.6625,0.5675,0.89,,,,,,,,,,,
align=0.89,2,"[0, 1, 1, 1]",RESN,0.8075,0.8075,0.825,0.89,,,,,,,,,,,
align=0.99,0,"[1, 0, 1, 1]",RESN,0.7725,0.7725,0.7825,0.99,,,,,,,,,,,
align=0.99,1,"[1, 0, 1, 1]",RESN,0.705,0.705,0.6925,0.99,,,,,,,,,,,
align=0.99,2,"[1, 0, 1, 1]",RESN,0.845,0.845,0.865,0.99,,,,,,,,,,,
align=0.94,0,"[100, 100000000, 1, 1]",RESN,0.8875,0.8875,0.9725,0.94,,,,,,,,,,,
align=0.94,1,"[100, 100000000, 1, 1]",RESN,0.86,0.86,0.7375,0.94,,,,,,,,,,,
align=0.94,2,"[100, 100000000, 1, 1]",RESN,0.93,0.93,0.99,0.94,,,,,,,,,,,
align=1,0,"[1, 1, 1, 1]",RESN,0.79,0.79,0.8175,1.0,,,,,,,,,,,
align=1,1,"[1, 1, 1, 1]",RESN,0.7375,0.7375,0.7025,1.0,,,,,,,,,,,
align=1,2,"[1, 1, 1, 1]",RESN,0.86,0.86,0.87,1.0,,,,,,,,,,,
align=0.97,0,"[100, 10000000, 1, 1]",RESN,0.8875,0.8875,0.9725,0.97,,,,,,,,,,,
align=0.97,1,"[100, 10000000, 1, 1]",RESN,0.86,0.86,0.7375,0.97,,,,,,,,,,,
align=0.97,2,"[100, 10000000, 1, 1]",RESN,0.93,0.93,0.99,0.97,,,,,,,,,,,
