wandb_group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,name,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.97,0,"[32, 32, 1, 1]",0.8225,0.82,0.965,0.97,RESN,,,,,,,,,,,
align=0.97,1,"[32, 32, 1, 1]",0.95,0.95,0.96,0.97,RESN,,,,,,,,,,,
align=0.97,2,"[32, 32, 1, 1]",0.955,0.955,0.96,0.97,RESN,,,,,,,,,,,
align=0.95,0,"[1, 1, 1, 1]",0.665,0.665,0.84,0.95,RESN,,,,,,,,,,,
align=0.95,1,"[1, 1, 1, 1]",0.8275,0.8275,0.84,0.95,RESN,,,,,,,,,,,
align=0.95,2,"[1, 1, 1, 1]",0.8125,0.8125,0.82,0.95,RESN,,,,,,,,,,,
align=0.89,0,"[256, 0, 1, 1]",0.8425,0.84,0.965,0.89,RESN,,,,,,,,,,,
align=0.89,1,"[256, 0, 1, 1]",0.9225,0.9225,0.95,0.89,RESN,,,,,,,,,,,
align=0.89,2,"[256, 0, 1, 1]",0.9375,0.9375,0.955,0.89,RESN,,,,,,,,,,,
align=0.84,0,"[1, 0, 1, 1]",0.6025,0.6025,0.8,0.84,RESN,,,,,,,,,,,
align=0.84,1,"[1, 0, 1, 1]",0.715,0.715,0.725,0.84,RESN,,,,,,,,,,,
align=0.84,2,"[1, 0, 1, 1]",0.785,0.785,0.7475,0.84,RESN,,,,,,,,,,,
align=0.69,0,"[0, 1, 1, 1]",0.62,0.62,0.675,0.69,RESN,,,,,,,,,,,
align=0.69,1,"[0, 1, 1, 1]",0.755,0.755,0.77,0.69,RESN,,,,,,,,,,,
align=0.69,2,"[0, 1, 1, 1]",0.7325,0.7325,0.71,0.69,RESN,,,,,,,,,,,
