img_id,label,head size,body size,tail size,texture
000.png,1,0.8300136862045582,0.4122622038210002,0.2370332859430294,0.7629667140569705
001.png,0,0.49828962767135865,0.23041892919801715,0.149462944556108,0.8505370554438919
002.png,1,0.8819031710741924,0.3745742415250998,0.10734570681052,0.89265429318948
003.png,1,0.8158828374718554,0.4419538566291177,0.7855370072367183,0.2144629927632816
004.png,1,0.7304872889951346,0.2865379042558675,0.7444784814472527,0.2555215185527473
005.png,1,0.732767199209262,0.3907715186282491,0.1706812290876672,0.8293187709123327
006.png,0,0.4717979287810552,0.2655156747821553,0.7819728707536254,0.2180271292463746
007.png,1,0.8131313815134926,0.461995151458549,0.922592752040338,0.0774072479596621
008.png,1,0.8545337341853243,0.353986305320457,0.8159642174796541,0.1840357825203459
009.png,0,0.3932447802534557,0.33265974364713946,0.7424036836693398,0.2575963163306602
010.png,1,0.9374835934714159,0.4210600199583076,0.8328824493582135,0.1671175506417865
011.png,1,0.8248760318075559,0.49854450873294665,0.842645653770065,0.157354346229935
012.png,1,0.805450527252353,0.40623038289904784,0.0992061783924553,0.9007938216075444
013.png,1,0.8847805844744459,0.2970840102483208,0.7387194342319985,0.2612805657680014
014.png,0,0.3936640870137772,0.3541220622451478,0.1172411346157097,0.8827588653842903
015.png,0,0.31296342151050066,0.26414448877723307,0.8290487437247989,0.1709512562752011
016.png,0,0.42257545742252195,0.3040306366206086,0.2665952615424281,0.7334047384575718
017.png,0,0.3098063961722522,0.2875357480137684,0.8739412802226096,0.1260587197773903
018.png,0,0.5135087093833405,0.3462352006608049,0.0334662561574199,0.96653374384258
019.png,0,0.40582603165507963,0.22440913996357617,0.1422383670973514,0.8577616329026485
020.png,0,0.5076625854646534,0.216953162371306,0.7230225095958551,0.2769774904041449
021.png,0,0.3761659866123303,0.29070054142270096,0.8264766669747667,0.1735233330252331
022.png,1,0.8170659449711865,0.4594359894459636,0.7662813084107409,0.2337186915892589
023.png,1,0.6693079128454137,0.3651157753215318,0.1919381894934901,0.8080618105065097
024.png,0,0.3733278776992348,0.13169253140140033,0.1635528259913583,0.8364471740086417
025.png,1,0.7422704665583976,0.45748984856490765,0.2914550997970342,0.7085449002029657
026.png,1,0.753289629992264,0.3771743635579081,0.1084255007259667,0.8915744992740332
027.png,0,0.36234805963592737,0.2935547808409593,0.2265057679896258,0.773494232010374
028.png,0,0.44198032349026656,0.14860388491592916,0.1654263163813348,0.8345736836186651
